id,hotel_name,address,Latitude,Longitude,price_range,関連サイト,charger_type,charger_count,出力,最大電流値,種別,充電課金,駐車料金,連絡・申込,事前予約,メーカー,認証,備考,image_url,affiliate_url,lat_lng
1559,三国オーシャンリゾート&ホテル  /  ブリーズベイホテル(株),福井県坂井市三国町緑ケ丘4-4-8,36.2213925,136.1515328,"6,364円〜（消費税込7,000円〜）",https://breezbay-group.com/mikuni-ocean/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=4898,https://travel.rakuten.co.jp/HOTEL/4898/4898.html,"36.2213925,36.2213925"
1560,敦賀さざなみリゾート ちょうべい,福井県敦賀市名子14-43-3,35.6759261,136.0313425,"7,200円〜（消費税込7,920円〜）",https://choubei.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=19871,https://travel.rakuten.co.jp/HOTEL/19871/19871.html,"35.6759261,35.6759261"
1561,若狭みかた きらら温泉 水月花 (第2P),福井県三方上中郡若狭町海山51-13,35.5909086,135.8677707,"5,000円〜（消費税込5,500円〜）",https://www.suigekka.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=72715,https://travel.rakuten.co.jp/HOTEL/72715/72715.html,"35.5909086,35.5909086"
1562,サバエ･シティーホテル  /  (株)チカイ商事,福井県鯖江市桜町3-3-3,35.9470916,136.1813504,"5,273円〜（消費税込5,800円〜）",https://www.sabae-city-hotel-ilvigore.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=9512,https://travel.rakuten.co.jp/HOTEL/9512/9512.html,"35.9470916,35.9470916"
1563,大江戸温泉物語 芦原温泉 あわら  /  大江戸温泉物語ホテルズ&リゾーツ(株),福井県あわら市二面48-10,36.2302428,136.1946277,"7,182円〜（消費税込7,900円〜）",https://www.ooedoonsen.jp/awara/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=130020,https://travel.rakuten.co.jp/HOTEL/130020/130020.html,"36.2302428,36.2302428"
1564,料理旅館 なが田,福井県三方上中郡若狭町海山52-22,35.5914516,135.8670341,"8,000円〜（消費税込8,800円〜）",https://nagatasou.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=18960,https://travel.rakuten.co.jp/HOTEL/18960/18960.html,"35.5914516,35.5914516"
1565,ホテル割烹石丸,福井県福井市鮎川町94-8-1,36.0927486,136.0314173,"10,910円〜（消費税込12,000円〜）",http://www.ishimaru.biz/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=14904,https://travel.rakuten.co.jp/HOTEL/14904/14904.html,"36.0927486,36.0927486"
1566,光風湯圃 べにや,福井県あわら市温泉4-510,36.2252826,136.1927678,"76,273円〜（消費税込83,900円〜）",https://awara.co.jp/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=28319,https://travel.rakuten.co.jp/HOTEL/28319/28319.html,"36.2252826,36.2252826"
1567,割烹旅館 越前満月,福井県福井市川尻町41-45-1,36.1469833,136.0976109,"31,637円〜（消費税込34,800円〜）",https://www.mangetu.net/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=18737,https://travel.rakuten.co.jp/HOTEL/18737/18737.html,"36.1469833,36.1469833"
1568,アプロディール ハナソウジュ (華双寿)  /  ホテル アーバンリゾート,福井県小浜市小浜日吉75,35.4947026,135.7386544,"5,464円〜（消費税込6,010円〜）",https://www.urban-port.jp/hanasouju/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=188698,https://travel.rakuten.co.jp/HOTEL/188698/188698.html,"35.4947026,35.4947026"
1569,四季彩の宿 花椿  /  ホテルアーバンリゾート,福井県小浜市小浜白鳥72-1,35.4938997,135.7378947,"6,300円〜（消費税込6,930円〜）",https://www.urban-port.jp/hanatsubaki/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=75186,https://travel.rakuten.co.jp/HOTEL/75186/75186.html,"35.4938997,35.4938997"
1570,ラポーゼかわだ  /  (株)フードサービス福井,福井県鯖江市上河内町19-37-2,35.9478467,136.3001523,"6,000円〜（消費税込6,600円〜）",https://www.lapause.jp/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,河村電器,Terra Charge,【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応),https://img.travel.rakuten.co.jp/image/imgr_90?no=15858,https://travel.rakuten.co.jp/HOTEL/15858/15858.html,"35.9478467,35.9478467"
